id,lat,lon,user,uid,version,changeset,timestamp
53730475,35.9543284,-87.3282078,MikeN,135163,3,34757303,2015-10-20T14:50:24Z
53730693,35.839525,-87.366483,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:16Z
53730910,35.79333,-87.523728,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:21Z
53731136,35.950632,-87.575022,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:27Z
53731355,35.724835,-87.486549,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:32Z
53731570,35.766436,-87.454401,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:37Z
53731788,35.737872,-87.706284,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:42Z
53732036,35.775445,-87.364672,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:48Z
53732425,35.921657,-87.3103949,yurasi,3526564,3,41671342,2016-08-24T19:24:18Z
53732653,35.668326,-87.435605,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:40:03Z
53732996,35.670732,-87.401862,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:40:12Z
53733255,35.712406,-87.589502,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:40:34Z
53733432,35.722692,-87.565213,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:40:40Z
53733884,35.690106,-87.442314,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:40:53Z
53734077,35.70457,-87.481292,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:40:58Z
53734269,35.936406,-87.350611,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:41:03Z
53734589,35.623926,-87.628031,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:41:13Z
53734824,35.9308463,-87.3077469,AndrewSnow,371121,3,45122681,2017-01-13T03:20:42Z
53735104,35.757001,-87.454145,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:41:27Z
53735302,35.753418,-87.32338,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:41:33Z
53735492,35.90883,-87.61051,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:41:39Z
53735809,35.805816,-87.511885,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:41:48Z
53736015,35.799104,-87.368198,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:41:54Z
53736359,35.933951,-87.414203,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:42:04Z
53736596,35.716129,-87.392748,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:42:11Z
53736808,35.64816,-87.493208,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:42:18Z
53737086,35.612874,-87.654289,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:42:42Z
53737270,35.858975,-87.662063,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:42:50Z
53737458,35.8395273,-87.6908502,beweta,152074,3,41470209,2016-08-15T15:41:39Z
53737654,35.922575,-87.651231,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:43:08Z
53737948,35.728526,-87.633442,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:43:21Z
53738245,35.957743,-87.367408,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:43:34Z
53738475,35.899924,-87.226152,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:43:44Z
53738666,35.662506,-87.585781,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:43:52Z
53738921,35.9699656,-87.3266292,bdiscoe,402624,3,21309359,2014-03-25T17:39:37Z
53739161,35.648357,-87.453966,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:44:11Z
53739347,35.6798022,-87.6251148,Luis36995,1829683,3,24299309,2014-07-22T19:37:30Z
53739573,35.953788,-87.46744,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:44:29Z
53739778,35.740248,-87.606843,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:44:38Z
53739993,35.883442,-87.297089,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:44:48Z
53740213,35.878583,-87.68892,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:44:58Z
53740429,35.852292,-87.567159,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:45:08Z
53740652,35.870011,-87.254107,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:45:18Z
53740898,35.671562,-87.656593,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:45:43Z
53741142,35.828762,-87.489285,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:45:50Z
53741336,35.861401,-87.466857,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:45:57Z
53741610,35.86185,-87.433432,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:46:05Z
53741844,35.977056,-87.47334,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:46:12Z
